"nsn-btn","a15cda8ebb04c5727cb7","fce3bfd539fc6665ee41","a15cda8ebb04c5727cb7 2","a915fb70b2ad21569785"
"MEK","Club Leon","2 - 1","Juarez","2-1"
"MEK","Puebla","5 - 4","Club Leon","1-3"
"MEK","Club Leon","1 - 1","Pumas","0-1"
"MEK","Cruz Azul","1 - 0","Club Leon","1-0"
"MEK","Club Leon","1 - 1","Atlas","0-1"
"MEK","Club Leon","1 - 0","Toluca","1-0"
"MEK","S. Laguna","0 - 2","Club Leon","0-1"
"MEK","Queretaro","1 - 1","Club Leon","0-1"
"MEK","Club Leon","1 - 0","Club Tijuana","0-0"
"MEK","Monterrey","3 - 1","Club Leon","2-1"
"HAZ","Guadalajara","2 - 0","Club Leon","1-0"
"MEK","Club Leon","1 - 1","Necaxa","0-1"
"MEK","Club America","1 - 1","Club Leon","0-0"
"MEK","R.S. Luis","3 - 0","Club Leon","1-0"
"MEK","Club Leon","2 - 1","Monarcas","0-1"
"LIG","Club Leon","1 - 3","Salt Lake","1-0"
"LIG","LA Galaxy","0 - 1","Club Leon","0-0"
"LIG","Vancouver","2 - 2","Club Leon","1-1"
"MEK","Tigres","1 - 0","Club Leon","1-0"
"MEK","Club Leon","4 - 0","Pachuca","3-0"
"MEK","Club Leon","1 - 2","Guadalajara","1-1"
"CŞL","Los Angeles","0 - 1","Club Leon","0-1"
"CŞL","Club Leon","2 - 1","Los Angeles","2-0"
"LIG","Club Leon","1 - 3","R.S. Luis","1-3"
"CŞL","Club Leon","3 - 1","Tigres","2-0"
"LIG","Club Leon","3 - 0","Tigres","2-0"
"CŞL","Tigres","2 - 1","Club Leon","2-1"
"LIG","Club Tijuana","0 - 0","Club Leon","0-0"
"LIG","Club Leon","0 - 2","Guadalajara","0-0"
"CŞL","Violette AC","2 - 1","Club Leon","2-1"
"LIG","Club Leon","0 - 0","Cruz Azul","0-0"
"CŞL","Club Leon","5 - 0","Violette AC","1-0"
"LIG","Club America","2 - 2","Club Leon","0-1"
"LIG","Monarcas","1 - 2","Club Leon","1-1"
"LIG","Club Leon","4 - 1","S. Laguna","3-0"
"CŞL","Club Leon","2 - 0","Tauro FC","2-0"
"LIG","Atlas","0 - 1","Club Leon","0-1"
"CŞL","Tauro FC","0 - 1","Club Leon","0-0"
"LIG","Club Leon","2 - 0","R.S. Luis","0-0"
"LIG","Club Leon","1 - 1","Monterrey","1-0"
