"nsn-btn","a15cda8ebb04c5727cb7","fce3bfd539fc6665ee41","a15cda8ebb04c5727cb7 2","a915fb70b2ad21569785"
"PRO","O.Petrolero","1 - 0","Aurora","1-0"
"PRO","Aurora","0 - 3","T. Strongest","0-2"
"COP","Guabira","2 - 0","Aurora","0-0"
"COP","Aurora","0 - 0","Palmaflor","0-0"
"COP","Aurora","2 - 1","Real Santa","0-1"
"PRO","Royal Pari","2 - 2","Aurora","1-0"
"PRO","Aurora","1 - 0","Guabira","0-0"
"COP","Guabira","0 - 1","Aurora","0-0"
"PRO","Real Santa","1 - 1","Aurora","0-1"
"PRO","Aurora","1 - 2","Real Tomay.","1-0"
"PRO","Palmaflor","0 - 1","Aurora","0-1"
"PRO","Aurora","2 - 1","Bolivar","1-1"
"COP","T. Strongest","0 - 1","Aurora","0-0"
"PRO","Independient","1 - 1","Aurora","0-0"
"PRO","Aurora","0 - 1","Universitari","0-0"
"PRO","N. Potosi","0 - 0","Aurora","0-0"
"PRO","Aurora","1 - 0","J.Wilsterman","0-0"
"COP","Aurora","0 - 0","Guabira","0-0"
"PRO","Always Ready","3 - 1","Aurora","1-1"
"COP","Palmaflor","0 - 0","Aurora","0-0"
"PRO","Vaca Diez","2 - 3","Aurora","2-1"
"PRO","Aurora","5 - 0","Libertad G.","3-0"
"PRO","Blooming","2 - 1","Aurora","1-0"
"PRO","Aurora","2 - 2","O.Petrolero","1-0"
"PRO","T. Strongest","2 - 2","Aurora","1-0"
"PRO","Aurora","3 - 0","Royal Pari","1-0"
"COP","Real Santa","0 - 1","Aurora","0-0"
"PRO","Guabira","1 - 0","Aurora","1-0"
"PRO","Aurora","1 - 1","Real Santa","0-0"
"PRO","Real Tomay.","2 - 1","Aurora","1-0"
"PRO","Aurora","2 - 1","Palmaflor","0-1"
"PRO","Bolivar","1 - 0","Aurora","0-0"
"PRO","Aurora","2 - 0","Independient","1-0"
"PRO","Universitari","1 - 1","Aurora","1-0"
"COP","Aurora","1 - 1","T. Strongest","1-0"
"PRO","Aurora","2 - 0","N. Potosi","1-0"
"PRO","J.Wilsterman","0 - 2","Aurora","0-2"
"PRO","Aurora","0 - 0","Always Ready","0-0"
"BOL","Aurora","0 - 2","Universitari","0-2"
"BOL","U. Sucre","1 - 1","Aurora","0-1"
