"nsn-btn","a15cda8ebb04c5727cb7","fce3bfd539fc6665ee41","a15cda8ebb04c5727cb7 2","a915fb70b2ad21569785"
"İSÇ2","Landskrona","1 - 2","Orgryte","1-1"
"İSÇ2","Orgryte","1 - 0","Vasteras","0-0"
"İSÇ2","Sundsvall","1 - 0","Orgryte","1-0"
"İSÇ2","Orgryte","0 - 2","Trelleborg","0-2"
"İSÇ2","Orgryte","2 - 2","Utsiktens","2-0"
"İSÇ2","Gefle","0 - 1","Orgryte","0-0"
"İSÇ2","Orgryte","1 - 4","Gais","0-2"
"İSÇ2","Jonkopings","2 - 1","Orgryte","1-0"
"İSÇ2","Eskilstuna","1 - 3","Orgryte","0-3"
"İSÇ2","Orgryte","0 - 3","Orebro","0-2"
"İSÇ2","Oster","2 - 0","Orgryte","1-0"
"İSÇK","Jonkopings B","0 - 2","Orgryte","0-0"
"İSÇ2","Orgryte","2 - 2","Östersunds","2-0"
"İSÇ2","Orgryte","1 - 2","Skövde","0-1"
"İSÇ2","Helsingborg","2 - 3","Orgryte","1-1"
"İSÇ2","Orgryte","1 - 1","Brage","1-1"
"İSÇ2","Skövde","2 - 0","Orgryte","1-0"
"İSÇ2","Orgryte","1 - 2","Helsingborg","1-0"
"İSÇ2","Brage","4 - 1","Orgryte","2-0"
"HAZ","Utsiktens","3 - 0","Orgryte","0-0"
"İSÇ2","Östersunds","2 - 1","Orgryte","1-0"
"İSÇ2","Orgryte","0 - 1","Landskrona","0-0"
"İSÇ2","Gais","0 - 1","Orgryte","0-1"
"İSÇ2","Orgryte","3 - 1","Gefle","2-1"
"İSÇ2","Orgryte","1 - 0","Sundsvall","0-0"
"İSÇ2","Orebro","0 - 0","Orgryte","0-0"
"İSÇ2","Orgryte","2 - 2","Oster","1-2"
"İSÇ2","Utsiktens","2 - 1","Orgryte","1-1"
"İSÇ2","Orgryte","2 - 2","Jonkopings","1-1"
"İSÇ2","Trelleborg","2 - 0","Orgryte","1-0"
"İSÇ2","Vasteras","0 - 0","Orgryte","0-0"
"İSÇ2","Orgryte","2 - 2","Eskilstuna","1-1"
"HAZ","Orgryte","0 - 5","Kfum Oslo","0-1"
"HAZ","Norrby","1 - 3","Orgryte","0-2"
"HAZ","Orgryte","0 - 1","Tvaakers","0-0"
"HAZ","Varnamo","3 - 1","Orgryte","1-1"
"HAZ","Orgryte","3 - 1","Oster","1-0"
"HAZ","Utsiktens","0 - 2","Orgryte","0-0"
"HAZ","Orgryte","3 - 2","Oddevold","1-1"
"İSÇ2","Orgryte","2 - 3","Sandvikens","1-0"
